# IEA (Indian Evidence Act, 1872) -> BSA (Bharatiya Sakshya Adhiniyam, 2023)
# Source: vakilpedia.com/iea-to-bsa-section-list
# old_section | new_section | subject
1 | 1 | Short title, application and commencement
3 | 2 | Definitions
3, para 1 | 2(1)(a) | Court
4, para 3 | 2(1)(b) | Conclusive proof
3, para 8 | 2(1)(c) | Disproved
3, para 5 | 2(1)(d) | Document
3, para 6 | 2(1)(e) | Evidence
3, para 2 | 2(1)(f) | Fact
3, para 4 | 2(1)(g) | Facts in issue
4, para 1 | 2(1)(h) | May presume
3, para 9 | 2(1)(i) | Not proved
3, para 7 | 2(1)(j) | Proved
3, para 3 | 2(1)(k) | Relevant
4, para 2 | 2(1)(l) | Shall presume
5 | 3 | Evidence maybe given of facts in issue and relevant facts
6 | 4 | Relevancy of facts forming part of same transaction
7 | 5 | Facts which are occasion, cause or effect
8 | 6 | Motive, preparation and previous or subsequent conduct
9 | 7 | Facts necessary to explain or introduce fact in issue
10 | 8 | Things said or done by conspirator in reference to common design
11 | 9 | When facts not otherwise relevant become relevant
12 | 10 | Facts tending to enable Court to determine amount in damages suits
13 | 11 | Facts relevant when right or custom is in question
14 | 12 | Facts showing existence of state of mind, or of body or bodily feeling
15 | 13 | Facts bearing on question whether act was accidental or intentional
16 | 14 | Existence of course of business when relevant
17 | 15 | Admission defined
18 | 16 | Admission by party to proceeding or his agent
19 | 17 | Admissions by persons whose position must be proved as against party
20 | 18 | Admissions by persons expressly referred to by party to suit
21 | 19 | Proof of admissions against persons making them
22 | 20 | When oral admissions as to contents of documents are relevant
23 | 21 | Admissions in civil cases when relevant
24 | 22(1) | Confession caused by inducement, threat, coercion or promise
28 | First proviso to 22 | Confession made after removal of impression caused by inducement
29 | Second proviso to 22 | Confession otherwise relevant not to become irrelevant
25 | 23(1) | Confession to police officer
26 | 23(2) | Confession by accused while in custody of police
27 | Proviso to 23 | How much of information received from accused may be proved
30 | 24 | Consideration of proved confession affecting person making it
31 | 25 | Admissions not conclusive proof, but may estop
